2wk
60
0
0
100
50
0
40
20
50
0
50
40
50
90
70
40
0
0
20
0
50
0
70
0
10
10
90
40
30
0
20
80
0
10
40
100
50
80
60
30
0
0
30
0
20
20
100
100
50
80
100
0
30
100
0
60
